hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,10205.5,12756.8,0.5743,mixed
1,1,0,10027.6,12534.5,0.5854,mixed
2,2,0,10251.0,12813.7,0.6001,mixed
3,3,0,10372.1,12965.1,0.6189,mixed
4,4,0,10433.4,13041.8,0.6423,mixed
5,5,0,10631.2,13288.9,0.6701,mixed
6,6,0,10334.5,12918.1,0.7021,mixed
7,7,0,10475.4,13094.3,0.7373,mixed
8,8,0,10930.3,13662.8,0.7744,mixed
9,9,0,11111.4,13889.3,0.8115,mixed
10,10,0,11103.8,13879.7,0.8463,mixed
11,11,0,11504.7,14380.9,0.8765,mixed
12,12,0,11846.2,14807.8,0.9,mixed
13,13,0,12015.0,15018.8,0.9149,mixed
14,14,0,12118.2,15147.7,0.92,mixed
15,15,0,11144.1,13930.1,0.9149,mixed
16,16,0,11129.7,13912.1,0.9,mixed
17,17,0,11322.9,14153.6,0.8765,mixed
18,18,0,11307.7,14134.7,0.8463,mixed
19,19,0,11038.1,13797.6,0.8115,mixed
20,20,0,10762.8,13453.5,0.7744,mixed
21,21,0,10672.4,13340.5,0.7373,mixed
22,22,0,10759.7,13449.6,0.7021,mixed
23,23,0,10039.1,12548.9,0.6701,mixed
24,0,1,10711.4,13389.2,0.5743,mixed
25,1,1,10065.9,12582.4,0.5854,mixed
26,2,1,10447.6,13059.6,0.6001,mixed
27,3,1,10038.8,12548.5,0.6189,mixed
28,4,1,10503.7,13129.6,0.6423,mixed
29,5,1,10487.6,13109.5,0.6701,mixed
30,6,1,10878.5,13598.1,0.7021,mixed
31,7,1,10706.6,13383.2,0.7373,mixed
32,8,1,11453.7,14317.1,0.7744,mixed
33,9,1,10620.0,13275.0,0.8115,mixed
34,10,1,11601.8,14502.3,0.8463,mixed
35,11,1,11462.8,14328.5,0.8765,mixed
36,12,1,11179.7,13974.7,0.9,mixed
37,13,1,12281.1,15351.4,0.9149,mixed
38,14,1,12270.4,15338.0,0.92,mixed
39,15,1,10879.9,13599.9,0.9149,mixed
40,16,1,11593.2,14491.5,0.9,mixed
41,17,1,11663.9,14579.9,0.8765,mixed
42,18,1,11430.0,14287.5,0.8463,mixed
43,19,1,11623.1,14528.9,0.8115,mixed
44,20,1,11373.6,14217.0,0.7744,mixed
45,21,1,10856.5,13570.6,0.7373,mixed
46,22,1,11330.4,14163.0,0.7021,mixed
47,23,1,10750.0,13437.6,0.6701,mixed
48,0,2,9902.3,12377.9,0.5743,mixed
49,1,2,9892.9,12366.1,0.5854,mixed
50,2,2,10506.1,13132.7,0.6001,mixed
51,3,2,9973.5,12466.9,0.6189,mixed
52,4,2,10198.9,12748.6,0.6423,mixed
53,5,2,10381.0,12976.3,0.6701,mixed
54,6,2,10719.0,13398.8,0.7021,mixed
55,7,2,10708.3,13385.3,0.7373,mixed
56,8,2,10511.9,13139.8,0.7744,mixed
57,9,2,11505.2,14381.5,0.8115,mixed
58,10,2,11143.7,13929.6,0.8463,mixed
59,11,2,12114.3,15142.9,0.8765,mixed
60,12,2,11637.2,14546.5,0.9,mixed
61,13,2,12042.8,15053.5,0.9149,mixed
62,14,2,11845.6,14807.0,0.92,mixed
63,15,2,12059.4,15074.3,0.9149,mixed
64,16,2,11729.3,14661.7,0.9,mixed
65,17,2,11502.7,14378.4,0.8765,mixed
66,18,2,11650.5,14563.2,0.8463,mixed
67,19,2,11946.8,14933.5,0.8115,mixed
68,20,2,10855.7,13569.6,0.7744,mixed
69,21,2,11027.6,13784.5,0.7373,mixed
70,22,2,10604.2,13255.3,0.7021,mixed
