hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,12051.5,15064.3,0.8118,ai_heavy
1,1,0,11588.1,14485.1,0.8172,ai_heavy
2,2,0,11968.4,14960.5,0.8244,ai_heavy
3,3,0,11371.8,14214.7,0.8335,ai_heavy
4,4,0,12128.1,15160.1,0.8449,ai_heavy
5,5,0,11764.5,14705.7,0.8584,ai_heavy
6,6,0,11857.8,14822.3,0.874,ai_heavy
7,7,0,11791.6,14739.6,0.8911,ai_heavy
8,8,0,11608.7,14510.9,0.9092,ai_heavy
9,9,0,11829.0,14786.3,0.9272,ai_heavy
10,10,0,11711.7,14639.6,0.9441,ai_heavy
11,11,0,12246.4,15308.0,0.9588,ai_heavy
12,12,0,11857.8,14822.2,0.9703,ai_heavy
13,13,0,11411.0,14263.8,0.9775,ai_heavy
14,14,0,11351.0,14188.7,0.98,ai_heavy
15,15,0,11328.5,14160.6,0.9775,ai_heavy
16,16,0,12151.6,15189.5,0.9703,ai_heavy
17,17,0,11492.5,14365.6,0.9588,ai_heavy
18,18,0,11976.1,14970.2,0.9441,ai_heavy
19,19,0,11878.1,14847.6,0.9272,ai_heavy
20,20,0,11764.6,14705.7,0.9092,ai_heavy
21,21,0,11899.7,14874.7,0.8911,ai_heavy
22,22,0,11760.7,14700.9,0.874,ai_heavy
23,23,0,10720.2,13400.2,0.8584,ai_heavy
24,0,1,11447.5,14309.3,0.8118,ai_heavy
25,1,1,11719.9,14649.8,0.8172,ai_heavy
26,2,1,12159.3,15199.1,0.8244,ai_heavy
27,3,1,12197.9,15247.3,0.8335,ai_heavy
28,4,1,11161.1,13951.4,0.8449,ai_heavy
29,5,1,11546.3,14432.9,0.8584,ai_heavy
30,6,1,11155.2,13944.0,0.874,ai_heavy
31,7,1,12280.8,15351.0,0.8911,ai_heavy
32,8,1,12145.6,15182.1,0.9092,ai_heavy
33,9,1,11954.1,14942.6,0.9272,ai_heavy
34,10,1,11928.4,14910.5,0.9441,ai_heavy
35,11,1,12396.7,15495.9,0.9588,ai_heavy
36,12,1,12364.0,15455.0,0.9703,ai_heavy
37,13,1,12362.5,15453.1,0.9775,ai_heavy
38,14,1,12117.0,15146.2,0.98,ai_heavy
39,15,1,11822.2,14777.8,0.9775,ai_heavy
40,16,1,12205.0,15256.3,0.9703,ai_heavy
41,17,1,12195.1,15243.9,0.9588,ai_heavy
42,18,1,11801.4,14751.7,0.9441,ai_heavy
43,19,1,11705.0,14631.2,0.9272,ai_heavy
44,20,1,12188.2,15235.3,0.9092,ai_heavy
45,21,1,12331.6,15414.5,0.8911,ai_heavy
46,22,1,11442.0,14302.5,0.874,ai_heavy
47,23,1,11576.5,14470.7,0.8584,ai_heavy
48,0,2,11681.4,14601.7,0.8118,ai_heavy
49,1,2,11741.2,14676.5,0.8172,ai_heavy
50,2,2,11407.4,14259.2,0.8244,ai_heavy
51,3,2,12266.5,15333.1,0.8335,ai_heavy
52,4,2,11784.4,14730.5,0.8449,ai_heavy
53,5,2,11854.8,14818.5,0.8584,ai_heavy
54,6,2,12322.8,15403.5,0.874,ai_heavy
55,7,2,11587.0,14483.8,0.8911,ai_heavy
56,8,2,11756.2,14695.2,0.9092,ai_heavy
57,9,2,11384.8,14231.1,0.9272,ai_heavy
58,10,2,11807.9,14759.9,0.9441,ai_heavy
59,11,2,11372.0,14215.0,0.9588,ai_heavy
60,12,2,12198.1,15247.6,0.9703,ai_heavy
61,13,2,12097.9,15122.4,0.9775,ai_heavy
62,14,2,11853.8,14817.3,0.98,ai_heavy
63,15,2,11911.4,14889.2,0.9775,ai_heavy
64,16,2,12203.0,15253.7,0.9703,ai_heavy
65,17,2,11498.1,14372.6,0.9588,ai_heavy
66,18,2,11942.0,14927.5,0.9441,ai_heavy
67,19,2,12077.9,15097.4,0.9272,ai_heavy
68,20,2,11157.2,13946.5,0.9092,ai_heavy
69,21,2,11986.6,14983.3,0.8911,ai_heavy
70,22,2,11117.3,13896.6,0.874,ai_heavy
71,23,2,11627.6,14534.5,0.8584,ai_heavy
72,0,3,11156.2,13945.3,0.8118,ai_heavy
73,1,3,12069.2,15086.5,0.8172,ai_heavy
74,2,3,11186.7,13983.4,0.8244,ai_heavy
75,3,3,11035.7,13794.6,0.8335,ai_heavy
76,4,3,11683.6,14604.5,0.8449,ai_heavy
77,5,3,11523.9,14404.9,0.8584,ai_heavy
78,6,3,11176.8,13971.0,0.874,ai_heavy
79,7,3,11930.5,14913.2,0.8911,ai_heavy
80,8,3,11083.2,13854.0,0.9092,ai_heavy
81,9,3,11461.9,14327.4,0.9272,ai_heavy
82,10,3,11664.4,14580.6,0.9441,ai_heavy
83,11,3,12190.2,15237.7,0.9588,ai_heavy
84,12,3,12394.1,15492.6,0.9703,ai_heavy
85,13,3,12342.7,15428.3,0.9775,ai_heavy
86,14,3,11898.2,14872.8,0.98,ai_heavy
87,15,3,11077.4,13846.7,0.9775,ai_heavy
88,16,3,12070.3,15087.9,0.9703,ai_heavy
89,17,3,12428.9,15536.1,0.9588,ai_heavy
90,18,3,12308.6,15385.7,0.9441,ai_heavy
91,19,3,11993.9,14992.4,0.9272,ai_heavy
92,20,3,11366.8,14208.5,0.9092,ai_heavy
93,21,3,11560.2,14450.2,0.8911,ai_heavy
94,22,3,12384.2,15480.3,0.874,ai_heavy
95,23,3,11172.8,13966.0,0.8584,ai_heavy
96,0,4,11161.6,13952.0,0.8118,ai_heavy
97,1,4,11899.5,14874.4,0.8172,ai_heavy
98,2,4,11439.1,14298.9,0.8244,ai_heavy
99,3,4,11198.8,13998.5,0.8335,ai_heavy
100,4,4,12170.5,15213.1,0.8449,ai_heavy
