hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,14174.2,17009.1,0.5743,mixed
1,1,0,13927.2,16712.7,0.5854,mixed
2,2,0,14237.4,17084.9,0.6001,mixed
3,3,0,14405.7,17286.8,0.6189,mixed
4,4,0,14490.9,17389.0,0.6423,mixed
5,5,0,14765.5,17718.6,0.6701,mixed
6,6,0,14353.4,17224.1,0.7021,mixed
7,7,0,14549.2,17459.0,0.7373,mixed
8,8,0,15180.9,18217.1,0.7744,mixed
9,9,0,15432.6,18519.1,0.8115,mixed
10,10,0,15421.9,18506.3,0.8463,mixed
11,11,0,15978.8,19174.5,0.8765,mixed
12,12,0,16453.1,19743.7,0.9,mixed
13,13,0,16687.5,20025.1,0.9149,mixed
14,14,0,16830.8,20196.9,0.92,mixed
15,15,0,15477.9,18573.5,0.9149,mixed
16,16,0,15457.9,18549.5,0.9,mixed
17,17,0,15726.2,18871.5,0.8765,mixed
18,18,0,15705.2,18846.2,0.8463,mixed
19,19,0,15330.7,18396.9,0.8115,mixed
20,20,0,14948.4,17938.0,0.7744,mixed
21,21,0,14822.8,17787.3,0.7373,mixed
22,22,0,14944.0,17932.8,0.7021,mixed
23,23,0,13943.2,16731.8,0.6701,mixed
24,0,1,14876.9,17852.3,0.5743,mixed
25,1,1,13980.5,16776.6,0.5854,mixed
26,2,1,14510.6,17412.7,0.6001,mixed
27,3,1,13942.7,16731.3,0.6189,mixed
28,4,1,14588.5,17506.2,0.6423,mixed
29,5,1,14566.1,17479.3,0.6701,mixed
30,6,1,15109.0,18130.8,0.7021,mixed
31,7,1,14870.3,17844.3,0.7373,mixed
32,8,1,15907.9,19089.5,0.7744,mixed
33,9,1,14750.0,17700.0,0.8115,mixed
34,10,1,16113.7,19336.4,0.8463,mixed
35,11,1,15920.6,19104.7,0.8765,mixed
36,12,1,15527.4,18632.9,0.9,mixed
37,13,1,17057.1,20468.6,0.9149,mixed
38,14,1,17042.2,20450.6,0.92,mixed
39,15,1,15111.0,18133.2,0.9149,mixed
40,16,1,16101.6,19322.0,0.9,mixed
41,17,1,16199.9,19439.9,0.8765,mixed
42,18,1,15875.1,19050.1,0.8463,mixed
43,19,1,16143.2,19371.8,0.8115,mixed
44,20,1,15796.7,18956.0,0.7744,mixed
45,21,1,15078.4,18094.1,0.7373,mixed
46,22,1,15736.7,18884.0,0.7021,mixed
47,23,1,14930.6,17916.7,0.6701,mixed
48,0,2,13753.2,16503.8,0.5743,mixed
49,1,2,13740.2,16488.2,0.5854,mixed
50,2,2,14591.9,17510.2,0.6001,mixed
51,3,2,13852.1,16622.5,0.6189,mixed
52,4,2,14165.1,16998.1,0.6423,mixed
53,5,2,14418.1,17301.7,0.6701,mixed
54,6,2,14887.6,17865.1,0.7021,mixed
55,7,2,14872.6,17847.1,0.7373,mixed
56,8,2,14599.8,17519.8,0.7744,mixed
57,9,2,15979.5,19175.4,0.8115,mixed
58,10,2,15477.4,18572.8,0.8463,mixed
59,11,2,16825.4,20190.5,0.8765,mixed
