hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,5544.7,7208.1,0.4829,cloud_heavy
1,1,0,5384.6,7000.0,0.4978,cloud_heavy
2,2,0,5769.4,7500.3,0.5177,cloud_heavy
3,3,0,5912.9,7686.8,0.5431,cloud_heavy
4,4,0,5540.2,7202.3,0.5747,cloud_heavy
5,5,0,5808.6,7551.1,0.6123,cloud_heavy
6,6,0,6252.3,8128.0,0.6556,cloud_heavy
7,7,0,6369.8,8280.7,0.7032,cloud_heavy
8,8,0,6640.3,8632.4,0.7533,cloud_heavy
9,9,0,6681.0,8685.3,0.8033,cloud_heavy
10,10,0,7242.5,9415.3,0.8504,cloud_heavy
11,11,0,7398.8,9618.5,0.8912,cloud_heavy
12,12,0,7379.6,9593.4,0.923,cloud_heavy
13,13,0,7702.5,10013.2,0.9431,cloud_heavy
14,14,0,7584.7,9860.1,0.95,cloud_heavy
15,15,0,7258.4,9436.0,0.9431,cloud_heavy
16,16,0,7446.4,9680.4,0.923,cloud_heavy
17,17,0,7022.1,9128.8,0.8912,cloud_heavy
18,18,0,7242.3,9415.0,0.8504,cloud_heavy
19,19,0,6846.2,8900.0,0.8033,cloud_heavy
20,20,0,6606.8,8588.9,0.7533,cloud_heavy
21,21,0,6299.4,8189.2,0.7032,cloud_heavy
22,22,0,6456.9,8393.9,0.6556,cloud_heavy
23,23,0,6016.7,7821.7,0.6123,cloud_heavy
24,0,1,5423.9,7051.0,0.4829,cloud_heavy
25,1,1,5499.3,7149.1,0.4978,cloud_heavy
26,2,1,5732.5,7452.3,0.5177,cloud_heavy
27,3,1,5813.7,7557.8,0.5431,cloud_heavy
28,4,1,5957.5,7744.8,0.5747,cloud_heavy
29,5,1,6122.8,7959.7,0.6123,cloud_heavy
30,6,1,6628.6,8617.2,0.6556,cloud_heavy
31,7,1,6352.4,8258.1,0.7032,cloud_heavy
32,8,1,6541.6,8504.1,0.7533,cloud_heavy
33,9,1,6689.0,8695.8,0.8033,cloud_heavy
34,10,1,7186.8,9342.8,0.8504,cloud_heavy
35,11,1,7475.0,9717.5,0.8912,cloud_heavy
36,12,1,7339.8,9541.7,0.923,cloud_heavy
37,13,1,7262.7,9441.5,0.9431,cloud_heavy
38,14,1,7294.8,9483.2,0.95,cloud_heavy
39,15,1,7595.9,9874.7,0.9431,cloud_heavy
40,16,1,7529.2,9788.0,0.923,cloud_heavy
41,17,1,7347.9,9552.3,0.8912,cloud_heavy
42,18,1,6915.5,8990.1,0.8504,cloud_heavy
43,19,1,6904.2,8975.4,0.8033,cloud_heavy
44,20,1,6666.9,8667.0,0.7533,cloud_heavy
45,21,1,6473.0,8414.8,0.7032,cloud_heavy
46,22,1,6391.3,8308.6,0.6556,cloud_heavy
47,23,1,6085.2,7910.8,0.6123,cloud_heavy
48,0,2,5606.4,7288.3,0.4829,cloud_heavy
49,1,2,5569.3,7240.1,0.4978,cloud_heavy
50,2,2,5691.3,7398.7,0.5177,cloud_heavy
51,3,2,5859.5,7617.4,0.5431,cloud_heavy
52,4,2,5627.4,7315.7,0.5747,cloud_heavy
53,5,2,5986.7,7782.7,0.6123,cloud_heavy
54,6,2,6140.5,7982.7,0.6556,cloud_heavy
55,7,2,6307.5,8199.8,0.7032,cloud_heavy
56,8,2,6588.8,8565.5,0.7533,cloud_heavy
57,9,2,7163.9,9313.1,0.8033,cloud_heavy
58,10,2,6873.1,8935.0,0.8504,cloud_heavy
59,11,2,7440.1,9672.2,0.8912,cloud_heavy
60,12,2,6993.1,9091.1,0.923,cloud_heavy
61,13,2,7375.6,9588.3,0.9431,cloud_heavy
62,14,2,7516.3,9771.2,0.95,cloud_heavy
63,15,2,7581.5,9856.0,0.9431,cloud_heavy
64,16,2,7522.1,9778.8,0.923,cloud_heavy
65,17,2,7402.2,9622.9,0.8912,cloud_heavy
66,18,2,6982.6,9077.3,0.8504,cloud_heavy
67,19,2,6761.3,8789.7,0.8033,cloud_heavy
68,20,2,6814.7,8859.1,0.7533,cloud_heavy
69,21,2,6393.9,8312.0,0.7032,cloud_heavy
70,22,2,5990.1,7787.1,0.6556,cloud_heavy
71,23,2,5839.2,7590.9,0.6123,cloud_heavy
72,0,3,5342.9,6945.8,0.4829,cloud_heavy
